country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",08-12-2025 08:00:00,23.107969,72.574648,SO2,3,12,7
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",08-12-2025 08:00:00,22.977134,72.553024,PM2.5,95,303,164
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",08-12-2025 08:00:00,22.977134,72.553024,PM10,123,186,156
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",08-12-2025 08:00:00,28.6514781,77.1473105,NO2,62,104,77
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",08-12-2025 08:00:00,28.6514781,77.1473105,SO2,6,21,14
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",08-12-2025 08:00:00,28.5504249,77.2159377,OZONE,10,27,16
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",08-12-2025 08:00:00,28.710508,77.249485,NH3,8,10,9
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",08-12-2025 08:00:00,28.710508,77.249485,OZONE,12,176,21
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",08-12-2025 08:00:00,28.531346,77.190156,PM2.5,207,331,297
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-12-2025 08:00:00,28.580280,77.233829,NO2,48,152,95
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",08-12-2025 08:00:00,28.611281,77.237738,PM2.5,197,329,295
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",08-12-2025 08:00:00,28.611281,77.237738,OZONE,1,164,3
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",08-12-2025 08:00:00,28.636429,77.201067,OZONE,2,110,6
India,Delhi,Delhi,"Mundka, Delhi - DPCC",08-12-2025 08:00:00,28.684678,77.076574,NO2,65,122,90
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",08-12-2025 08:00:00,28.530785,77.271255,PM2.5,287,362,324
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",08-12-2025 08:00:00,28.530785,77.271255,OZONE,6,116,9
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",08-12-2025 08:00:00,28.623763,77.287209,OZONE,1,176,2
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",08-12-2025 08:00:00,28.674045,77.131023,PM2.5,250,379,334
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",08-12-2025 08:00:00,28.563262,77.186937,PM2.5,293,404,334
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",08-12-2025 08:00:00,28.376058,77.315741,NO2,29,33,31
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",08-12-2025 08:00:00,28.376058,77.315741,CO,10,80,25
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",08-12-2025 08:00:00,28.4417,77.3217,CO,58,65,62
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",08-12-2025 08:00:00,29.503664,75.467934,PM2.5,127,304,215
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",08-12-2025 08:00:00,29.503664,75.467934,PM10,124,200,160
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",08-12-2025 08:00:00,28.422681,77.148944,NO2,22,46,31
India,Haryana,Jind,"Police Lines, Jind - HSPCB",08-12-2025 08:00:00,29.307814,76.337619,SO2,NA,NA,NA
India,Haryana,Jind,"Police Lines, Jind - HSPCB",08-12-2025 08:00:00,29.307814,76.337619,CO,4,143,64
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",08-12-2025 08:00:00,29.8006,76.4155,NH3,5,6,6
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",08-12-2025 08:00:00,29.695300,77.002700,CO,38,62,51
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",08-12-2025 08:00:00,29.966942,76.875879,OZONE,20,78,36
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",08-12-2025 08:00:00,28.4227,77.0667,PM10,134,354,211
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",08-12-2025 08:00:00,28.4227,77.0667,SO2,NA,NA,NA
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",08-12-2025 08:00:00,28.4275,77.1465,OZONE,10,43,11
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",08-12-2025 08:00:00,29.140560,75.744941,CO,55,78,58
